               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.036473,            0.019888,           0.0041837,             0.52407,             0.32157,             0.30514,              0.1173,            0.065388,            0.023794,            0.025879,            0.005545,            0.005545,            0.005545
                  92,            0.035921,            0.020142,           0.0041617,             0.49214,             0.34585,              0.3185,             0.12666,             0.06561,            0.023869,            0.026151,           0.0054955,           0.0054955,           0.0054955
                  93,            0.035139,            0.018758,           0.0045096,             0.44238,             0.34974,             0.30253,             0.12107,             0.06542,            0.024947,            0.023532,            0.005446,            0.005446,            0.005446
                  94,            0.036108,            0.019779,           0.0041232,              0.5002,             0.35168,             0.32892,             0.13666,            0.065696,            0.024314,            0.023102,           0.0053965,           0.0053965,           0.0053965
                  95,            0.035758,            0.019316,           0.0039987,             0.56723,             0.29477,             0.29834,             0.12322,            0.065385,             0.02464,            0.024164,            0.005347,            0.005347,            0.005347
                  96,             0.03549,            0.020217,           0.0045904,             0.39029,             0.33045,             0.30272,             0.11802,            0.065397,             0.02447,            0.024212,           0.0052975,           0.0052975,           0.0052975
                  97,            0.036122,            0.020618,           0.0041861,             0.49252,             0.30068,             0.29845,             0.12917,            0.065807,            0.024119,            0.025466,            0.005248,            0.005248,            0.005248
                  98,            0.034842,            0.019104,           0.0040944,             0.44811,             0.34189,             0.29356,             0.11847,            0.065228,             0.02393,            0.025877,           0.0051985,           0.0051985,           0.0051985
                  99,            0.033764,            0.019467,           0.0037489,             0.34121,              0.3347,             0.25492,             0.10803,            0.065064,            0.024495,            0.025908,            0.005149,            0.005149,            0.005149
                 100,            0.034396,            0.019595,           0.0046574,             0.38123,             0.33718,             0.28365,             0.11901,            0.066266,            0.025051,            0.025587,           0.0050995,           0.0050995,           0.0050995
                 101,            0.034655,            0.019273,           0.0037783,             0.39042,             0.33233,             0.27408,             0.11757,            0.065174,            0.024308,            0.025138,             0.00505,             0.00505,             0.00505
                 102,             0.03476,            0.019349,            0.004013,             0.41018,             0.33397,             0.29402,             0.11914,            0.065797,            0.024558,            0.024153,           0.0050005,           0.0050005,           0.0050005
                 103,            0.034109,            0.019385,           0.0043281,             0.56308,             0.26988,             0.29941,              0.1208,            0.066478,            0.024475,            0.023188,            0.004951,            0.004951,            0.004951
                 104,            0.034148,              0.0186,           0.0041216,             0.50005,             0.30445,              0.2977,              0.1312,            0.065747,            0.025181,            0.024196,           0.0049015,           0.0049015,           0.0049015
                 105,            0.034577,            0.018863,           0.0040406,             0.50386,             0.32746,             0.32055,             0.13153,            0.066518,            0.024628,            0.025639,            0.004852,            0.004852,            0.004852
                 106,            0.033443,            0.018805,           0.0041494,             0.49488,             0.34628,             0.33266,             0.13454,            0.066695,            0.024345,            0.024953,           0.0048025,           0.0048025,           0.0048025
                 107,            0.033735,            0.019168,           0.0043388,             0.57168,             0.28055,             0.30823,             0.13099,             0.06632,             0.02462,            0.025358,            0.004753,            0.004753,            0.004753
                 108,            0.034641,            0.019327,            0.004077,              0.4898,             0.27171,              0.2843,             0.12133,            0.066711,            0.025315,            0.025969,           0.0047035,           0.0047035,           0.0047035
                 109,              0.0333,            0.018073,           0.0037749,             0.39098,             0.34862,             0.28063,             0.11192,            0.066613,            0.025505,            0.025641,            0.004654,            0.004654,            0.004654
                 110,            0.033678,              0.0187,           0.0040229,             0.36249,             0.32942,             0.24837,             0.10669,            0.066482,            0.026732,            0.025125,           0.0046045,           0.0046045,           0.0046045
                 111,            0.033416,            0.018491,           0.0035345,             0.39769,              0.3426,             0.26515,             0.11078,            0.066648,            0.025783,            0.024938,            0.004555,            0.004555,            0.004555
                 112,            0.033615,            0.018908,           0.0040356,             0.52397,             0.31731,             0.29694,             0.11846,            0.066817,            0.025393,            0.025132,           0.0045055,           0.0045055,           0.0045055
                 113,            0.033308,            0.018635,           0.0034698,             0.41989,             0.33735,             0.28859,             0.11754,            0.067441,            0.025156,            0.025823,            0.004456,            0.004456,            0.004456
                 114,            0.033037,            0.018863,           0.0035097,             0.46638,             0.33483,              0.2881,             0.12017,            0.067214,            0.025268,            0.024689,           0.0044065,           0.0044065,           0.0044065
                 115,            0.033033,            0.018954,           0.0039746,             0.51238,             0.32553,             0.30187,             0.13503,            0.067726,            0.025714,            0.024523,            0.004357,            0.004357,            0.004357
                 116,             0.03213,            0.017699,           0.0038933,             0.58157,             0.31421,              0.3033,             0.12678,            0.067417,            0.025368,            0.025865,           0.0043075,           0.0043075,           0.0043075
                 117,            0.032972,            0.019084,            0.003398,             0.58918,             0.31897,             0.30785,              0.1326,            0.067261,            0.025572,            0.025174,            0.004258,            0.004258,            0.004258
                 118,            0.032908,            0.018929,           0.0036295,             0.67379,             0.29924,             0.32896,             0.15102,            0.066635,            0.025324,            0.024755,           0.0042085,           0.0042085,           0.0042085
                 119,            0.032739,            0.018708,           0.0029863,             0.44718,             0.35909,             0.31156,             0.12513,            0.067506,            0.025333,            0.024763,            0.004159,            0.004159,            0.004159
                 120,            0.031618,             0.01812,           0.0032878,             0.42826,             0.30963,             0.27212,             0.11199,            0.067353,            0.025903,            0.024948,           0.0041095,           0.0041095,           0.0041095
                 121,            0.031386,             0.01817,           0.0035531,             0.46268,              0.2994,             0.25754,              0.1048,            0.067271,            0.026433,            0.025225,             0.00406,             0.00406,             0.00406
                 122,            0.031639,            0.018159,           0.0032552,             0.47102,             0.29642,             0.25893,             0.10825,            0.067031,            0.025685,             0.02581,           0.0040105,           0.0040105,           0.0040105
                 123,            0.031586,            0.018087,            0.002777,             0.37794,             0.34822,             0.26118,             0.11055,            0.067243,            0.025857,            0.026345,            0.003961,            0.003961,            0.003961
